GEOID,NAME,B03002_001E,B03002_012E,B03002_004E,pct_hisp,pct_aa
08013012508,"Census Tract 125.08, Boulder County, Colorado",3225,96,14,0.029767441860465118,0.004341085271317829
08013012509,"Census Tract 125.09, Boulder County, Colorado",3381,161,101,0.047619047619047616,0.02987281869269447
08013012510,"Census Tract 125.10, Boulder County, Colorado",4433,94,0,0.021204601849763142,0
08013012511,"Census Tract 125.11, Boulder County, Colorado",6343,649,94,0.10231751537127542,0.01481948604761154
08013012603,"Census Tract 126.03, Boulder County, Colorado",3381,323,0,0.09553386572020113,0
08013012605,"Census Tract 126.05, Boulder County, Colorado",1615,103,0,0.06377708978328174,0
08013012607,"Census Tract 126.07, Boulder County, Colorado",5493,572,136,0.104132532313854,0.02475878390679046
08013012608,"Census Tract 126.08, Boulder County, Colorado",2538,235,2,0.09259259259259259,7.880220646178094e-4
08013012701,"Census Tract 127.01, Boulder County, Colorado",6209,215,17,0.03462715413110001,0.002737961024319536
08013012705,"Census Tract 127.05, Boulder County, Colorado",4368,289,22,0.06616300366300366,0.005036630036630037
08013012707,"Census Tract 127.07, Boulder County, Colorado",2506,604,46,0.24102154828411812,0.018355945730247406
08013012708,"Census Tract 127.08, Boulder County, Colorado",5040,252,0,0.05,0
08013012709,"Census Tract 127.09, Boulder County, Colorado",1936,47,0,0.02427685950413223,0
08013012710,"Census Tract 127.10, Boulder County, Colorado",3609,189,98,0.05236907730673317,0.02715433638126905
08013012800,"Census Tract 128, Boulder County, Colorado",12279,774,32,0.06303444905936965,0.0026060754133072728
08013012903,"Census Tract 129.03, Boulder County, Colorado",2425,232,13,0.09567010309278351,0.0053608247422680414
08013012904,"Census Tract 129.04, Boulder County, Colorado",5497,310,17,0.05639439694378752,0.0030925959614335093
08013012905,"Census Tract 129.05, Boulder County, Colorado",2650,340,31,0.12830188679245283,0.01169811320754717
08013012907,"Census Tract 129.07, Boulder County, Colorado",3522,428,32,0.12152186257808063,0.009085746734809767
08013013003,"Census Tract 130.03, Boulder County, Colorado",7102,353,0,0.049704308645451986,0
08013013004,"Census Tract 130.04, Boulder County, Colorado",3543,234,24,0.06604572396274344,0.006773920406435224
08013013005,"Census Tract 130.05, Boulder County, Colorado",3235,307,0,0.09489953632148378,0
08013013006,"Census Tract 130.06, Boulder County, Colorado",5707,423,40,0.07411950236551604,0.007008936393902225
08013013201,"Census Tract 132.01, Boulder County, Colorado",1701,144,4,0.08465608465608465,0.0023515579071134627
08013013202,"Census Tract 132.02, Boulder County, Colorado",1475,45,35,0.030508474576271188,0.023728813559322035
08013013205,"Census Tract 132.05, Boulder County, Colorado",5471,522,27,0.0954121732772802,0.0049351124108938035
08013013207,"Census Tract 132.07, Boulder County, Colorado",4532,317,0,0.06994704324801412,0
08013013208,"Census Tract 132.08, Boulder County, Colorado",6085,581,15,0.09548069022185703,0.0024650780608052587
08013013210,"Census Tract 132.10, Boulder County, Colorado",5184,1751,99,0.3377700617283951,0.019097222222222224
08013013211,"Census Tract 132.11, Boulder County, Colorado",6148,1739,0,0.2828562134027326,0
08013013212,"Census Tract 132.12, Boulder County, Colorado",4644,735,108,0.1582687338501292,0.023255813953488372
08013013213,"Census Tract 132.13, Boulder County, Colorado",9475,1111,150,0.11725593667546175,0.0158311345646438
08013013302,"Census Tract 133.02, Boulder County, Colorado",5149,582,73,0.1130316566323558,0.014177510196154593
08013013305,"Census Tract 133.05, Boulder County, Colorado",5337,1375,64,0.2576353756792205,0.011991755667978264
08013013306,"Census Tract 133.06, Boulder County, Colorado",4926,1485,91,0.30146163215590743,0.018473406414941128
08013013307,"Census Tract 133.07, Boulder County, Colorado",3884,1072,10,0.2760041194644696,0.0025746652935118436
08013013308,"Census Tract 133.08, Boulder County, Colorado",3487,704,19,0.20189274447949526,0.0054488098652136505
08013013401,"Census Tract 134.01, Boulder County, Colorado",3481,1474,48,0.4234415397874174,0.013789141051422005
08013013402,"Census Tract 134.02, Boulder County, Colorado",8439,3896,0,0.46166607417940514,0
08013013503,"Census Tract 135.03, Boulder County, Colorado",5389,2296,50,0.42605307107069956,0.009278159213212098
08013013505,"Census Tract 135.05, Boulder County, Colorado",4277,2344,34,0.5480476969838672,0.00794949731119944
08013013506,"Census Tract 135.06, Boulder County, Colorado",4454,578,49,0.1297709923664122,0.011001347103726987
08013013507,"Census Tract 135.07, Boulder County, Colorado",3350,748,0,0.22328358208955223,0
08013013508,"Census Tract 135.08, Boulder County, Colorado",7184,1070,47,0.14894209354120266,0.006542316258351893
08013013601,"Census Tract 136.01, Boulder County, Colorado",3935,100,46,0.025412960609911054,0.011689961880559084
08013013602,"Census Tract 136.02, Boulder County, Colorado",779,25,2,0.03209242618741977,0.0025673940949935813
08013013701,"Census Tract 137.01, Boulder County, Colorado",6235,418,32,0.06704089815557338,0.005132317562149158
08013013702,"Census Tract 137.02, Boulder County, Colorado",6061,446,15,0.07358521696089754,0.0024748391354561953
08013060600,"Census Tract 606, Boulder County, Colorado",6054,322,22,0.053187974892632967,0.003633961017509085
